NPS ZAID X Y Z ReactionType DepositedEnergy TimeStamp Weight
8140 82208 29.259 -32.423 -18.362 -1 2.5422999999999996 1.4182 0.013199
8332 13027 34.351 -33.46 -22.182 -4 6.1771 1.4787 0.46412
10067 82208 30.679 -31.187 -18.668 -1 2.6895999999999995 1.375 0.022513
10107 82208 31.752 -33.75 -21.537 -1 3.5995600000000003 1.4869 0.022513
10388 82208 32.099 -31.594 -17.646 -1 3.8130699999999997 1.3305 0.013199
13036 82208 32.504 -31.603 -19.181 -1 2.7198 1.3934 0.013199
16045 82208 31.891 -30.046 -19.81 -1 3.5510499999999996 1.3484 0.036416
16490 82208 33.527 -32.029 -22.878 -4 4.7398 1.4363 0.013199
17646 82208 34.035 -34.718 -14.359 -1 1.8868999999999998 1.4246 0.013199
19553 82208 30.584 -34.192 -16.594 -4 4.1795 1.4491 0.013199
19891 82208 32.063 -31.876 -19.582 -4 5.8389 1.3651 0.013199
21371 82208 32.84 -32.344 -15.041 -4 4.9806 1.3527 0.013199
22473 82208 35.254 -34.805 -19.092 -4 4.1855 1.5044 0.037118
24707 82208 30.491 -34.646 -16.386 -4 4.1577 1.5383 0.036416
24707 82208 34.278 -33.81 -23.557 -4 4.092 1.4036 0.013199
25353 82208 32.58 -32.792 -22.197 -1 0.8090000000000002 1.3847 0.022513
27813 82208 30.591 -32.527 -21.055 -4 4.7556 1.4686 0.013199
27964 82208 32.734 -38.15 -16.905 -1 4.56638 1.3724 0.013199
33300 13027 35.479 -33.838 -21.674 -1 0.8388999999999998 1.4253 5.4516e-06
38780 82208 33.982 -31.016 -22.596 -1 2.1708 1.515 0.013199
39446 82208 33.989 -33.948 -16.937 -1 3.8908000000000005 1.3558 0.037118
44385 82208 36.616 -30.305 -18.825 -4 5.1845 1.3809 0.013199
46104 82208 32.534 -35.402 -18.848 -4 4.2287 1.5706 0.013199
47832 13027 35.182 -32.218 -20.699 -4 6.5099 1.4255 0.46412
52934 6000 29.878 -31.58 -16.354 -4 4.439 1.4575 1.0
53978 82208 29.959 -32.092 -17.632 -1 1.6744000000000003 1.4238 0.013199
54226 82208 32.092 -30.728 -17.629 -4 4.974 1.3663 0.013199
57903 82208 31.245 -32.999 -17.976 -4 4.3741 1.4296 0.048934
58968 82208 34.471 -32.652 -17.33 -4 5.8193 1.5071 0.037873
61427 24052 33.657 -32.43 -21.942 -4 4.736 1.4367 0.22353
64475 82208 36.944 -33.965 -18.223 -4 4.5464 1.4734 0.037118
65872 13027 34.291 -35.057 -23.027 -1 3.1199999999999997 1.3957 0.46412
67427 82208 30.916 -34.823 -18.882 -4 4.9984 1.4517 0.013199
68197 82208 30.881856255722305 -32.250850762310414 -18.402256399028705 -1 2.5121 1.3726 0.013199
68462 82208 30.557 -31.428 -18.869 -1 4.66934 1.467 0.050698
70714 82208 32.925 -29.432 -19.465 -4 4.4688 1.3602 0.0025567
72226 6000 34.073 -34.801 -14.659 -1 0.7908 1.3805 1.0
72646 82208 33.164 -29.365 -21.99 -1 4.4387 1.431 0.013199
75915 82208 34.22279699975016 -33.63653240856407 -16.0672195222629 -1 4.60295 1.4653 0.037118
76831 82208 36.654 -35.384 -20.351 -1 4.5396 1.6183 0.013199
81882 6000 32.072 -33.041 -15.263 -1 2.5282999999999998 1.3171 1.0
83347 82208 34.503 -36.078 -15.931 -4 4.4236 1.418 0.013199
88433 82208 31.497 -32.036 -22.107 -1 3.21945 1.4239 0.036416
96160 82208 32.907 -35.558 -19.293 -4 4.4662 1.6058 0.048934
